radius,value,metric
478.7705365,0.767072594,Kerr_Newman
409.3155273,0.744222635,Kerr_Newman
336.7222698,0.640657115,Kerr_Newman
376.2230016,0.703560833,Kerr_Newman
386.1747917,0.734903957,Kerr_Newman
518.216496,0.791818718,Kerr_Newman
398.3451834,0.71059709,Kerr_Newman
411.8015662,0.728306129,Kerr_Newman
494.8450122,0.784824513,Kerr_Newman
315.9860728,0.755019778,Kerr_Newman
433.6231799,0.808254668,Kerr_Newman
351.6152339,0.674271733,Kerr_Newman
476.1918829,0.774270098,Kerr_Newman
433.2616894,0.825251999,Kerr_Newman
321.3394954,0.742996328,Kerr_Newman
343.3199658,0.714501653,Kerr_Newman
440.3402922,0.799621378,Kerr_Newman
430.0956892,0.783498346,Kerr_Newman
555.0113416,0.805955811,Kerr_Newman
304.6348373,0.673356401,Kerr_Newman
421.6708579,0.786732578,Kerr_Newman
590.4492671,0.81646856,Kerr_Newman
375.1067482,0.691399672,Kerr_Newman
466.6393032,0.783623192,Kerr_Newman
471.9733348,0.84335036,Kerr_Newman
379.5597665,0.736497275,Kerr_Newman
326.2295429,0.671378902,Kerr_Newman
599.0085307,0.857373406,Kerr_Newman
332.5902631,0.669347269,Kerr_Newman
496.8310631,0.787879584,Kerr_Newman
504.0958875,0.801589448,Kerr_Newman
399.9193481,0.815181213,Kerr_Newman
545.0722658,0.819636981,Kerr_Newman
513.2845492,0.789007148,Kerr_Newman
300.8495856,0.607397236,Kerr_Newman
307.4731276,0.641085429,Kerr_Newman
460.7657435,0.834912413,Kerr_Newman
532.2981147,0.806478715,Kerr_Newman
444.7926027,0.821654047,Kerr_Newman
576.163103,0.826656133,Kerr_Newman
549.5201058,0.822033516,Kerr_Newman
565.34938,0.819626269,Kerr_Newman
364.565078,0.773684186,Kerr_Newman
303.5589113,0.657825474,Kerr_Newman
541.6884409,0.837265588,Kerr_Newman
406.1817752,0.82950972,Kerr_Newman
491.7638593,0.802951237,Kerr_Newman
574.0259683,0.867592431,Kerr_Newman
504.4553184,0.821701072,Kerr_Newman
302.9210206,0.654071189,Kerr_Newman
401.5302498,0.726595108,Reissner_Nordstrom
314.7502954,0.669195462,Reissner_Nordstrom
474.4967897,0.768867557,Reissner_Nordstrom
448.3445457,0.759709665,Reissner_Nordstrom
409.3809191,0.717866115,Reissner_Nordstrom
444.1013152,0.741776499,Reissner_Nordstrom
499.5014653,0.788940677,Reissner_Nordstrom
417.8691748,0.733771634,Reissner_Nordstrom
356.5793383,0.664986886,Reissner_Nordstrom
300.1371077,0.578036153,Reissner_Nordstrom
325.2497875,0.626565847,Reissner_Nordstrom
555.880277,0.809993597,Reissner_Nordstrom
369.0313894,0.6986956,Reissner_Nordstrom
365.0050542,0.685896904,Reissner_Nordstrom
533.951672,0.791111071,Reissner_Nordstrom
551.3117968,0.80165943,Reissner_Nordstrom
430.5584446,0.734305947,Reissner_Nordstrom
556.0205445,0.804646741,Reissner_Nordstrom
457.5614189,0.750320889,Reissner_Nordstrom
552.2831819,0.804831458,Reissner_Nordstrom
447.3801408,0.748198479,Reissner_Nordstrom
584.8775674,0.811549634,Reissner_Nordstrom
368.5106834,0.680844593,Reissner_Nordstrom
489.9148627,0.770602024,Reissner_Nordstrom
481.6456493,0.778802521,Reissner_Nordstrom
541.2062125,0.796754608,Reissner_Nordstrom
351.7473747,0.670681225,Reissner_Nordstrom
488.3629019,0.7745239,Reissner_Nordstrom
481.0138787,0.770238702,Reissner_Nordstrom
455.3470376,0.769687565,Reissner_Nordstrom
474.524097,0.764626663,Reissner_Nordstrom
329.9257223,0.674507687,Reissner_Nordstrom
543.2195288,0.79526134,Reissner_Nordstrom
542.7568524,0.81415654,Reissner_Nordstrom
472.7059939,0.785833588,Reissner_Nordstrom
370.616606,0.684359512,Reissner_Nordstrom
309.639816,0.61943066,Reissner_Nordstrom
469.5223922,0.770755085,Reissner_Nordstrom
570.8804122,0.806722436,Reissner_Nordstrom
560.8132644,0.802636269,Reissner_Nordstrom
